ncbi_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,gene_id,uniprot_id
BAA10111.1,1072.9249056714102,-0.003774174584071422,0.10149356451620804,0.9628838748098253,0.9761048920800741,slr0769,slr0769,Q55604
BAA10112.1,134.25114961713385,-0.17093932938839748,0.1566726357126694,0.2494819366427885,0.3565119755376261,slr0770,slr0770,Q55605
BAA10113.1,62.33121079383165,0.1728554716132001,0.22730738926200048,0.39336545219907343,0.5075514877014512,slr0771,slr0771,Q55606
BAA10114.1,7667.622775794445,-0.640384437150735,0.14340217338865446,2.976106147768049e-6,1.5344856363677756e-5,chlB,slr0772,Q55607
BAA10115.1,1578.0653259236735,-0.4380451387355706,0.29296903381551,0.07014312546452374,0.1275663759758372,slr0773,slr0773,Q55608
BAA10116.1,632.4749919205618,-0.7879598627390828,0.36135829003715114,0.0065879183949523355,0.016565273065568552,sll0772,sll0772,P15730
BAA10117.1,2015.596598786636,-1.0163910212753315,0.13561423727850974,1.297179433126241e-14,1.5575130217813342e-13,glcP,sll0771,P15729
BAA10118.1,967.9286994772484,-0.40563523786894223,0.10004756507707126,3.354984902296221e-5,1.4479847774835682e-4,secD,slr0774,Q55610
BAA10119.1,683.1830278801324,-0.500824825200187,0.09998163525259934,3.008099975853104e-7,1.847452551541641e-6,secF,slr0775,Q55611
BAA10120.1,715.8012103565576,0.14563964469572413,0.10810276819883873,0.16735264991786009,0.2599359056733397,lpxD,slr0776,Q55612
BAA10121.1,3937.6726411105933,-0.8956486588734174,0.08399140446137002,3.632481725990743e-27,1.0773257768536648e-25,rpl20,sll0767,P48957
BAA10122.1,1910.5697052523697,-0.9022530206332287,0.08975911925878903,2.2013141620640173e-24,5.616588339972162e-23,rpl35,ssl1426,P48959
BAA10123.1,338.11922727982204,-0.2326809301920383,0.12052705459583823,0.04606531302412217,0.088951940007626,radC,sll0766,P52601
BAA10124.1,333.20712378262,-0.154997317024781,0.13033883531981327,0.21720914067803246,0.32004913721986095,sll0765,sll0765,Q55613
BAA10125.1,382.70345929266796,0.06923225739130645,0.12908705314490057,0.5796918011282833,0.6816436970230916,livG,sll0764,Q55614
BAA10126.1,188.13059417158183,0.6398048191042315,0.14860426567096416,6.725876641272095e-6,3.237003043719025e-5,sll0763,sll0763,Q55615
BAA10127.1,227.45806877658316,0.4674063627094101,0.14122359291368744,5.381877455230742e-4,0.0017991440047833021,sll0762,sll0762,Q55616
BAA10128.1,516.6162111807478,0.05165071067447694,0.11436059637239757,0.6435968471286205,0.7360847262809206,sll0761,sll0761,Q55617
BAA10129.1,1451.3642826200967,-0.2430823161175295,0.10057103137477917,0.013298088984303246,0.030458329224773772,ycf38,sll0760,Q55618
BAA10130.1,472.81231039913615,0.17796515057024048,0.12013796711524201,0.1265445231584178,0.2063484470675328,sll0759,sll0759,Q55619
BAA10131.1,123.1393980692629,0.6403683603873195,0.17271203915016445,8.286479563070577e-5,3.3126824981399654e-4,slr0779,slr0779,Q55620
BAA10132.1,2042.8758787312074,-1.9630953439823273,0.09137706432457637,1.61807823872107e-103,2.0052612458436117e-101,purF,sll0757,Q55621
BAA10133.1,3442.069457472348,-0.8625543569985351,0.08594980267267249,2.8208243012888406e-24,7.041913903217466e-23,psbT,smr0001,P74787
BAA10134.1,870.5029715853713,0.06774389649107102,0.1048328533199042,0.5087260234655566,0.6180744043407537,slr0780,slr0780,Q55622
BAA10135.1,219.69183827937871,0.058066457491189404,0.1450587738887681,0.6770377103318261,0.7630142432125485,sll0756,sll0756,Q55623
BAA10136.1,363.81534598959837,0.2817190282548883,0.12426479362845769,0.019112149615671085,0.04164060041148225,sll0755,sll0755,Q55624
BAA10137.1,627.8089831937144,0.1800068053121014,0.10502091816584042,0.0795381930099908,0.14117520703052075,sll0754,sll0754,Q55625
BAA10138.1,227.25275366882406,0.4539306388561465,0.15077599562134256,0.0015479619789312727,0.004630541436975445,ycf33,ssl1417,P74788
BAA10139.1,371.688808865566,0.02117971374811834,0.12144375624152826,0.8581040864454743,0.9034044842129235,folD,sll0753,Q55626
BAA10140.1,276.30962754494686,0.47307157814288103,0.12998864342881897,1.578229451784289e-4,5.882337484093967e-4,sll0752,sll0752,Q55627
BAA10141.1,273.77060193842055,0.6379471421556546,0.12898244701574935,3.1203839577184436e-7,1.9096529688329804e-6,ycf22,sll0751,Q55628
BAA10142.1,312.62121070718297,0.18643660595087264,0.12286543878820054,0.11694633835112085,0.1927808997997099,slr0782,slr0782,Q55629
BAA10143.1,615.6544634289787,-0.008421864786476161,0.10402100071872035,0.9331889701538898,0.9552111287415923,sarA,sll0750,Q55630
BAA10144.1,235.8708456852689,-0.011043670091233535,0.1295245890165745,0.9283431700049253,0.9514180096982963,sll0749,sll0749,Q55631
BAA10145.1,527.6104376385852,0.26475982868846343,0.11532457529669989,0.018026849111620398,0.03957358343565497,tpi,slr0783,Q59994
BAA10146.1,430.5052366610259,0.43553888698804183,0.11466512896244753,9.17582649959529e-5,3.6140883034728325e-4,slr0784,slr0784,Q55632
BAA10147.1,264.89487496171887,0.03493901627133611,0.12858164017391654,0.7793455542273768,0.8443112935276296,slr0341,slr0341,Q55633
BAA10148.1,480.2932772407757,0.16897640298423644,0.10597575653642256,0.1027934797295722,0.17433693776227543,sll0325,sll0325,Q55634
BAA10149.1,7134.05979874887,-0.12523372390727602,0.08080684211299156,0.11586983738506687,0.19136998368690245,petB,slr0342,Q57038
BAA10150.1,7417.638419914937,-0.38741399701885526,0.08512908257840274,3.6703796163853015e-6,1.870222800125844e-5,petD,slr0343,P27589
BAA10151.1,71.02982483758193,0.6037438362980965,0.21891245762621628,0.0024187952596061886,0.0068684284376706005,rfbW,slr0344,Q55635
BAA10152.1,352.27453697304963,-0.2128729999578222,0.13115576844548832,0.0912350906593972,0.15781942402198817,slr0345,slr0345,Q55636
BAA10153.1,395.28677089247947,-0.41336717296798847,0.13260713668691138,0.0011772120506025868,0.0036375118571602637,rnc,slr0346,Q55637
BAA10154.1,205.63675672369362,0.26955168240160227,0.1404931805887855,0.04530614163625947,0.08773008453003368,hypF,sll0322,Q55638
BAA10155.1,345.9169378571627,0.42031222680608205,0.12272648286178257,4.005678120550724e-4,0.0013782421897292475,sll0321,sll0321,Q55639
BAA10156.1,150.4534120416702,-0.3380847277570979,0.15532068655355144,0.02143293486150269,0.046079482013267864,slr0347,slr0347,Q55640
BAA10157.1,551.1716990934215,0.2662749594198934,0.11850320866811492,0.020475658405718113,0.04421315162902418,rnd,sll0320,Q55641
BAA10158.1,1137.4492924434458,0.6131470990631313,0.10521955939633934,2.4461240358688603e-9,1.916038466019175e-8,sll0319,sll0319,P74789
BAA10159.1,670.83306494826,-0.070068703219849,0.1043260626625658,0.4913035439949123,0.600924673127369,slr0348,slr0348,Q55643
BAA10160.1,300.5405492447617,0.31208879185001404,0.12827998010688527,0.01157685757469502,0.02712471018513958,sll0318,sll0318,Q57473
BAA10161.1,55.87885542390885,0.386032164942312,0.23893197764988947,0.06688533076101526,0.12241144395607749,slr0350,slr0350,Q57495
BAA10162.1,668.5841666878677,-0.5976596070456817,0.10717772659660774,1.0777864241252293e-8,7.873513456241149e-8,slr0351,slr0351,Q57456
BAA10164.1,82.30569673609344,0.09052083686162793,0.1873940543141237,0.6031739015001045,0.7025892709652107,slr0352,slr0352,Q55645
BAA10165.1,43.01983761236317,0.004330124338717877,0.2421064630650479,0.9850609441452729,0.9896240521667913,sll0315,sll0315,Q55646
BAA10167.1,461.7684143834999,0.5303313194730145,0.1273282388083167,1.588925703631667e-5,7.179130457814954e-5,sll0314,sll0314,Q55648
BAA10168.1,149.18911594646107,0.14425347358597354,0.16015540421351626,0.3423129707554782,0.4570319386385184,slr0354,slr0354,Q55649
BAA10169.1,2255.7012532346357,-0.2880686034846992,0.09380093160731225,0.0017325967363516451,0.0051254140453028205,rps21,ssl0601,P48949
BAA10170.1,1680.9734140576213,0.6441127368770005,0.10655152899773164,6.098277753174224e-10,5.026371449765928e-9,slr0355,slr0355,Q55650
BAA10171.1,198.9078394772722,0.20822729445359148,0.1415969731011748,0.12466863140485882,0.2038678701993279,slr0356,slr0356,Q55651
BAA10172.1,162.76164732577968,-0.8909760734875183,0.15399701017341588,1.7589886224279017e-9,1.3999290183084448e-8,sll0312,sll0312,Q55652
BAA10173.1,262.83062394580384,-0.13182651112805538,0.13061861155040164,0.29470257514738274,0.4058007681592929,hisS,slr0357,Q55653
BAA10174.1,457.3919977541361,0.04611179954726489,0.12145547935244094,0.6962936736133539,0.7766438596715969,slr0358,slr0358,Q55654
BAA10175.1,62.98689526969762,0.8057741116946668,0.23442575886270473,1.6255882918627768e-4,6.039391191395969e-4,sll0310,sll0310,Q55655
BAA10176.1,261.73645278524623,0.7062218777278876,0.1577128034697457,2.634829390480815e-6,1.3748658624012673e-5,sll0309,sll0309,Q55656
BAA10177.1,262.5456418501159,-0.9182510330611319,0.3221497134119578,8.354809937342548e-4,0.002674464066658546,sll0024,sll0024,Q55657
BAA10178.1,533.8160777809932,-0.9094848375690632,0.1630870764638715,5.595240739107499e-9,4.220757687978918e-8,sll0023,sll0023,Q55658
BAA10179.1,350.14597970582844,-0.3266084865909774,0.1480586663066832,0.020428702721237115,0.04416672800167775,sll0022,sll0022,Q55659
BAA10180.1,584.5793802887567,0.5776785413240068,0.12107116975560248,8.443986213481746e-7,4.756596129997022e-6,slr0001,slr0001,Q55660
BAA10181.1,321.9050874913144,1.1812275075467393,0.1334243248090379,1.436663927788647e-19,2.443737171287552e-18,sll0021,sll0021,Q55661
BAA10182.1,10192.742823887553,-0.08462084961663291,0.0877304167194677,0.325295468274828,0.4388706356584966,clpC,sll0020,Q55662
BAA10183.1,894.9207397680032,0.16010580615451864,0.10592821023009338,0.12186242145869297,0.19970206987895353,sll0019,sll0019,Q55663
BAA10184.1,16013.860087619036,-0.23992694910560167,0.10781156098124214,0.021991477128378366,0.047042228486786374,cbbA,sll0018,Q55664
BAA10185.1,1459.1616102197736,0.10302893023888728,0.10091455527434229,0.28987831788200813,0.4002697027658449,hemL,sll0017,Q55665
BAA10186.1,307.7472221649083,-0.1716993566585015,0.13318485611970413,0.18004223634405808,0.27619211322452764,mltA,sll0016,Q55666
BAA10187.1,523.1614848282339,-1.5214671117837097,0.11652630748441191,6.9718399313664285e-40,3.7800444627877356e-38,slr0006,slr0006,Q55667
BAA10188.1,405.48259743439576,-0.7942872719399411,0.12616199096658146,8.678334726503581e-11,7.662550000246165e-10,slr0007,slr0007,Q55668
BAA10189.1,1036.2158847064757,-1.1950089642979458,0.1263708129867193,4.395415214001357e-22,8.867494646851575e-21,ctpA,slr0008,Q55669
BAA10190.1,33293.488899948985,-0.3388591129298281,0.08654557201293613,1.2260718369668536e-4,4.6701089728594755e-4,rbcL,slr0009,P54205
BAA10191.1,9638.113805224843,-0.37297021507155925,0.08737732886058056,1.3957208785940226e-5,6.397822257227554e-5,rbcX,slr0011,Q55670
BAA10192.1,4709.548215845714,-0.4910527906634225,0.08408981173235727,2.938571344799873e-9,2.271011707451127e-8,rbcS,slr0012,P54206
BAA10193.1,599.4583975422967,0.6330103688708265,0.10889490061900702,2.6265334551293882e-9,2.043513697152237e-8,slr0013,slr0013,Q55671
BAA10194.1,388.3121981639021,0.5696559778173668,0.12291490862119343,1.683127641870997e-6,9.083130509008336e-6,mgtC,slr0014,Q57208
BAA10195.1,48.130478283207054,0.3489543813148743,0.24294991283861378,0.10148526840918619,0.17289941899865954,sll0012,sll0012,Q57495
BAA10196.1,502.79774544781327,-0.12487438356956326,0.10838420966023245,0.23722920242539544,0.34285103390925536,lpxB,slr0015,Q57310
BAA10197.1,11208.846415402255,0.37112568223457054,0.0966606834845621,8.850259109981044e-5,3.509759898472483e-4,petF,ssl0020,P27320
BAA10198.1,142.30125924695903,0.15593316714505803,0.15336449469328095,0.28516511671714184,0.394869523279835,slr0016,slr0016,Q55672
BAA10199.1,3361.0178032025137,-0.33070381019234407,0.08332845127065966,5.5305030321086665e-5,2.29830485286432e-4,murZ,slr0017,Q55673
BAA10200.1,168.35871099319974,-0.06764480328460136,0.14761751132527268,0.630312222127982,0.7247128597694159,fumC,slr0018,Q55674
BAA10202.1,285.3755392666875,0.08381731615379429,0.12630991709590234,0.4930400185492637,0.6024115719598399,slr0019,slr0019,Q55676
